Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
132,D_Q05b2,Current work - Start of work for business - Year,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
133,D_Q05b3,Current work - Start of work for business - Month,Integer,Nominal,2,0,Background questionnaire,Months,BQ (numeric),Values,
134,D_Q06a,Current work - Amount of people working for employer,Integer,Ordinal,1,0,Background questionnaire,Employee numbers,BQ (numeric),Values,
135,D_Q06b,Current work - Amount of people working for employer increased,Integer,Nominal,1,0,Background questionnaire,Employee numbers change,BQ (numeric),Values,
136,D_Q06c,Current work - Part of a larger organisation,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
137,D_Q07a,Current work - Employees working for you,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
138,D_Q07b,Current work - Employees working for you - Count,Integer,Ordinal,1,0,Background questionnaire,Employee numbers,BQ (numeric),Values,
139,D_Q07b_C,"Current work - Employees working for you - Count (collapsed, 2 categories)",Integer,Ordinal,1,0,Background questionnaire (derived),Derived - Employee numbers (1-2),BQ (numeric),Values,
140,D_Q08a,Current work - Managing other employees,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
141,D_Q08b,Current work - Managing other employees - Count,Integer,Ordinal,1,0,Background questionnaire,Subordinate numbers,BQ (numeric),Values,
142,D_Q09,Current work - Type of contract,Integer,Nominal,2,0,Background questionnaire,Employment contract types,BQ (numeric),Values,
143,D_Q10,Current work - Hours/week,Integer,Ratio,3,0,Background questionnaire,,BQ (numeric),Values,
144,D_Q10_C,Current work - Hours/week (top-coded at 60),Integer,Ratio,2,0,Background questionnaire (derived),,BQ (numeric),Values,
145,D_Q10_T,"Hours per week at this job or business - number of hours (top coded at 97, Trend-IALS/ALL)",Integer,Ratio,3,0,Background questionnaire (trend),,Trend - BQ (nummeric) collapsed,Values,
146,D_Q10_T1,Hours per week at this job or business - range of hours (Trend-IALS/ALL),Integer,Ordinal,2,0,Background questionnaire (trend),Trend - Hours per week (1-6),Trend - BQ (nummeric) collapsed,Values,
147,D_Q11a,Current work - Work flexibility - Sequence of tasks,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
148,D_Q11b,Current work - Work flexibility - How to do the work,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
149,D_Q11c,Current work - Work flexibility - Speed of work,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
150,D_Q11d,Current work - Work flexibility - Working hours,Integer,Ordinal,1,0,Background questionnaire,Extents,BQ (numeric),Values,
151,D_Q12a,Current work - Requirements - Education level,Integer,Nominal,2,0,Background questionnaire,"ISCED 1997 PIAAC (1-15, incl non-formal, excl foreign)",BQ (numeric),Values,
152,D_Q12b,Current work - Requirements - To do the job satisfactorily,Integer,Nominal,1,0,Background questionnaire,Job requirement - level,BQ (numeric),Values,
153,D_Q12c,Current work - Requirements - Related work experience,Integer,Ordinal,2,0,Background questionnaire,Job requirement - experience,BQ (numeric),Values,
154,D_Q13a,Current work - Learning - Learning from co-workers/supervisors,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
155,D_Q13b,Current work - Learning - Learning-by-doing,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
156,D_Q13c,Current work - Learning - Keeping up to date,Integer,Ordinal,1,0,Background questionnaire,Frequency (time units),BQ (numeric),Values,
157,D_Q14,Current work - Job satisfaction,Integer,Ordinal,1,0,Background questionnaire,Satisfaction levels,BQ (numeric),Values,
158,D_Q16a,Current work - Earnings - Salary interval,Integer,Nominal,2,0,Background questionnaire,Earnings time units,BQ (numeric),Values,
159,D_S16a,Current work - Earnings - Hours per piece,Numeric/floating point,Ratio,7,2,Background questionnaire,,BQ (numeric),Values,
160,D_D16a,Current work - Earnings - Salary interval per hour (DERIVED BY CAPI),Numeric/floating point,Ratio,7,2,Background questionnaire,,BQ (numeric),Values,
161,D_Q16b,Current work - Earnings - Gross pay,Numeric/floating point,Ratio,14,2,Background questionnaire,,BQ (numeric),Values,
162,D_Q16b_T,Wage or salary [weekly/hourly] before taxes and deductions (Trend-IALS/ALL),Integer,Ordinal,1,0,Background questionnaire (trend),"Trend - Wage, salary or income quintiles (1-5)",BQ (numeric),Values,
163,D_Q16c,Current work - Earnings - Gross pay in broad categories,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
164,D_Q16d1,Current work - Earnings - Broad categories - Gross pay per hour,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
165,D_Q16d2,Current work - Earnings - Broad categories - Gross pay per day,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
166,D_Q16d3,Current work - Earnings - Broad categories - Gross pay per week,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
167,D_Q16d4,Current work - Earnings - Broad categories - Gross pay per 2 weeks,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
168,D_Q16d5,Current work - Earnings - Broad categories - Gross pay per month,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
169,D_Q16d6,Current work - Earnings - Broad categories - Gross pay per year,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
170,D_Q17a,Current work - Earnings - Additional payments,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
171,D_Q17b,Current work - Earnings - Additional payments amount last year,Integer,Ratio,11,0,Background questionnaire,,BQ (numeric),Values,
172,D_Q17c,Current work - Earnings - Additional payments in broad categories,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
173,D_Q17d,Current work - Earnings - Additional payments - Broad - Last year,Integer,Ordinal,1,0,Background questionnaire,Gross additional earnings,BQ (numeric),Values,
174,D_Q18a,Current work - Earnings - Total earnings last year,Integer,Ratio,11,0,Background questionnaire,,BQ (numeric),Values,
175,D_Q18a_T,Annual net income before taxes and deductions (Trend-IALS/ALL),Integer,Ordinal,1,0,Background questionnaire (trend),"Trend - Wage, salary or income quintiles (1-5)",BQ (numeric),Values,
176,D_Q18b,Current work - Earnings - Total earnings broad categories,Integer,Nominal,1,0,Background questionnaire,Yes (1) / No (2),BQ (numeric),Values,
177,D_Q18c1,Current work - Earnings - Broad categories - Total earnings last month,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
178,D_Q18c2,Current work - Earnings - Broad categories - Total earnings last year,Integer,Ordinal,2,0,Background questionnaire,Gross earning bands,BQ (numeric),Values,
179,E_Q03,Last job - Economic sector,Integer,Nominal,1,0,Background questionnaire,Sectors of economy,BQ (numeric),Values,
180,E_Q04,Last job - Employee or self-employed,Integer,Nominal,1,0,Background questionnaire,Employment types,BQ (numeric),Values,
181,E_Q05a1,Last job - Start of work for employer - Age,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
182,E_Q05a1_C,"Last job - Start of work for employer - Age (categorised, 9 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),"Derived - Age categories (1-9, 55+)",BQ (numeric),Values,
183,E_Q05a2,Last job - Start of work for employer - Year,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
184,E_Q05b1,Last job - Start of work for business - Age,Integer,Ratio,2,0,Background questionnaire,,BQ (numeric),Values,
185,E_Q05b1_C,"Last job - Start of work for business - Age (categorised, 9 categories)",Integer,Ordinal,2,0,Background questionnaire (derived),"Derived - Age categories (1-9, 55+)",BQ (numeric),Values,
186,E_Q05b2,Last job - Start of work for business - Year,Integer,Scale,4,0,Background questionnaire,,BQ (numeric),Values,
187,E_Q06,Last job - Amount of people working for employer,Integer,Ordinal,1,0,Background questionnaire,Employee numbers,BQ (numeric),Values,
